Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
6300030,Baskin Robbins,21,Noida,"Address 29, Noida","Locality 29, Noida","Locality 29, Noida, India",79.252639,32.707544,American,439,Indian Rupees(Rs.),No,No,No,No,3,2.0,White,Poor,820,India
6300031,TGI Friday's,161,Ghaziabad,"Address 30, Ghaziabad","Locality 30, Ghaziabad","Locality 30, Ghaziabad, India",87.033558,22.192336,"Continental, Japanese",2402,Indian Rupees(Rs.),No,Yes,Yes,Yes,3,3.5,Orange,Good,794,India
6300032,Mainland China,204,Faridabad,"Address 31, Faridabad","Locality 31, Faridabad","Locality 31, Faridabad, India",81.90194,12.133911,"Street Food, French, Bengali",2259,Indian Rupees(Rs.),No,No,Yes,No,3,1.7,White,Poor,985,India
6300033,Hard Rock Cafe,58,Noida,"Address 32, Noida","Locality 32, Noida","Locality 32, Noida, India",84.781445,13.728733,"Bakery, Fast Food, Street Food",1777,Indian Rupees(Rs.),No,No,No,No,4,1.5,White,Poor,790,India
6300034,Amul,22,Ghaziabad,"Address 33, Ghaziabad","Locality 33, Ghaziabad","Locality 33, Ghaziabad, India",79.451542,33.761478,"Street Food, Mughlai",1034,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.5,Orange,Good,435,India
6300035,Pind Balluchi,89,Gurgaon,"Address 34, Gurgaon","Locality 34, Gurgaon","Locality 34, Gurgaon, India",87.4536,34.064716,"Continental, Rajasthani",1135,Indian Rupees(Rs.),Yes,Yes,Yes,Yes,3,3.5,Orange,Good,756,India
6300036,The Great Kebab Factory,49,Faridabad,"Address 35, Faridabad","Locality 35, Faridabad","Locality 35, Faridabad, India",77.22624,10.453249,"Japanese, Italian",1959,Indian Rupees(Rs.),No,Yes,No,Yes,2,1.6,White,Poor,244,India
6300037,Bikaner Sweets,59,New Delhi,"Address 36, New Delhi","Locality 36, New Delhi","Locality 36, New Delhi, India",76.998973,28.691501,"South Indian, Chinese, Street Food",1953,Indian Rupees(Rs.),No,No,No,No,1,2.4,White,Poor,840,India
6300038,Haldiram's,170,New Delhi,"Address 37, New Delhi","Locality 37, New Delhi","Locality 37, New Delhi, India",77.333615,29.058125,Bakery,1926,Indian Rupees(Rs.),Yes,Yes,No,No,2,1.3,White,Poor,549,India
6300039,Gulati,188,Noida,"Address 38, Noida","Locality 38, Noida","Locality 38, Noida, India",67.460681,34.127355,Mediterranean,843,Indian Rupees(Rs.),No,No,No,No,3,3.9,Orange,Good,744,India
6300040,Chili's,208,Ghaziabad,"Address 39, Ghaziabad","Locality 39, Ghaziabad","Locality 39, Ghaziabad, India",69.858081,25.83256,Chinese,459,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,173,India
6300041,Indian Accent,15,Ghaziabad,"Address 40, Ghaziabad","Locality 40, Ghaziabad","Locality 40, Ghaziabad, India",82.855805,14.18349,"Beverages, Thai",2302,Indian Rupees(Rs.),Yes,No,No,No,3,4.0,Green,Very Good,251,India
6300042,Pind Balluchi,190,Faridabad,"Address 41, Faridabad","Locality 41, Faridabad","Locality 41, Faridabad, India",80.201195,27.585339,"Mughlai, French",1603,Indian Rupees(Rs.),No,Yes,No,No,4,4.4,Green,Very Good,632,India
6300043,Taco Bell,190,Noida,"Address 42, Noida","Locality 42, Noida","Locality 42, Noida, India",82.791161,31.743639,"Punjabi, North Indian, South Indian",1414,Indian Rupees(Rs.),Yes,No,Yes,No,3,2.9,Red,Average,342,India
6300044,Barbeque Nation,175,New Delhi,"Address 43, New Delhi","Locality 43, New Delhi","Locality 43, New Delhi, India",77.109584,28.520826,"Beverages, American",460,Indian Rupees(Rs.),No,No,No,No,1,1.4,White,Poor,845,India
6300045,Bikaner Sweets,190,Faridabad,"Address 44, Faridabad","Locality 44, Faridabad","Locality 44, Faridabad, India",74.618941,30.01185,"Beverages, South Indian",1489,Indian Rupees(Rs.),Yes,Yes,Yes,No,4,3.9,Orange,Good,933,India
6300046,Indian Accent,51,Gurgaon,"Address 45, Gurgaon","Locality 45, Gurgaon","Locality 45, Gurgaon, India",60.308249,33.772099,"Mediterranean, Mexican, Street Food",2494,Indian Rupees(Rs.),No,No,No,Yes,1,2.0,White,Poor,14,India
6300047,Subway,108,Gurgaon,"Address 46, Gurgaon","Locality 46, Gurgaon","Locality 46, Gurgaon, India",80.642101,24.427897,"Bakery, Street Food",932,Indian Rupees(Rs.),Yes,No,No,No,3,2.6,Red,Average,274,India
6300048,McDonald's,55,New Delhi,"Address 47, New Delhi","Locality 47, New Delhi","Locality 47, New Delhi, India",77.024729,28.153989,"Street Food, Punjabi, Gujarati",1610,Indian Rupees(Rs.),No,No,No,No,1,3.8,Orange,Good,353,India
6300049,Varq,64,Faridabad,"Address 48, Faridabad","Locality 48, Faridabad","Locality 48, Faridabad, India",75.164775,10.882839,"Punjabi, Mexican",1699,Indian Rupees(Rs.),No,No,No,No,2,4.6,Dark Green,Excellent,135,India
6300050,Subway,131,New Delhi,"Address 49, New Delhi","Locality 49, New Delhi","Locality 49, New Delhi, India",76.740926,28.878689,"French, Street Food",839,Indian Rupees(Rs.),Yes,Yes,Yes,No,2,2.9,Red,Average,970,India
6300051,Dum Pukht,51,Faridabad,"Address 50, Faridabad","Locality 0, Faridabad","Locality 0, Faridabad, India",60.46092,19.837067,"Fast Food, Mediterranean, American",2578,Indian Rupees(Rs.),No,Yes,Yes,No,4,4.8,Dark Green,Excellent,700,India
6300052,Dum Pukht,135,New Delhi,"Address 51, New Delhi","Locality 1, New Delhi","Locality 1, New Delhi, India",76.764404,28.584935,"South Indian, Italian, Fast Food",1008,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Red,Average,442,India
6300053,Mother Dairy,21,Ghaziabad,"Address 52, Ghaziabad","Locality 2, Ghaziabad","Locality 2, Ghaziabad, India",87.394684,33.371184,Rajasthani,1406,Indian Rupees(Rs.),Yes,No,No,No,2,1.5,White,Poor,990,India
6300054,Karim's,73,Faridabad,"Address 53, Faridabad","Locality 3, Faridabad","Locality 3, Faridabad, India",78.843261,33.597602,Desserts,704,Indian Rupees(Rs.),No,No,No,Yes,3,3.1,Red,Average,379,India
6300055,Pizza Hut,167,Noida,"Address 54, Noida","Locality 4, Noida","Locality 4, Noida, India",77.380593,28.271682,"Fast Food, South Indian",1701,Indian Rupees(Rs.),No,No,No,Yes,3,4.4,Green,Very Good,567,India
6300056,Nathu's Sweets,18,Gurgaon,"Address 55, Gurgaon","Locality 5, Gurgaon","Locality 5, Gurgaon, India",72.471247,20.08185,Japanese,1648,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Red,Average,802,India
6300057,Ruby Tuesday,132,Noida,"Address 56, Noida","Locality 6, Noida","Locality 6, Noida, India",63.493081,15.703678,"Chinese, Rajasthani, Mediterranean",2383,Indian Rupees(Rs.),No,No,No,No,4,4.0,Green,Very Good,127,India
6300058,Baskin Robbins,89,Noida,"Address 57, Noida","Locality 7, Noida","Locality 7, Noida, India",79.373894,8.663788,North Indian,1137,Indian Rupees(Rs.),No,No,Yes,No,2,3.2,Red,Average,301,India
6300059,Starbucks,60,Noida,"Address 58, Noida","Locality 8, Noida","Locality 8, Noida, India",75.933627,32.194085,Beverages,1206,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.2,Red,Average,771,India
6300060,Varq,14,Faridabad,"Address 59, Faridabad","Locality 9, Faridabad","Locality 9, Faridabad, India",70.466384,21.786034,"Mughlai, Desserts, French",1367,Indian Rupees(Rs.),No,No,Yes,No,1,2.1,White,Poor,936,India
6300061,McDonald's,9,Faridabad,"Address 60, Faridabad","Locality 10, Faridabad","Locality 10, Faridabad, India",74.121972,9.08726,"North Indian, American, Bakery",320,Indian Rupees(Rs.),No,No,No,Yes,4,1.8,White,Poor,844,India
6300062,Natural Ice Cream,90,Faridabad,"Address 61, Faridabad","Locality 11, Faridabad","Locality 11, Faridabad, India",61.518459,11.15961,"Bengali, Continental",671,Indian Rupees(Rs.),No,Yes,No,Yes,4,2.1,White,Poor,612,India
6300063,Paranthe Wali Gali,53,Faridabad,"Address 62, Faridabad","Locality 12, Faridabad","Locality 12, Faridabad, India",86.890194,22.835886,Thai,2596,Indian Rupees(Rs.),No,Yes,No,Yes,2,2.8,Red,Average,821,India
6300064,Wenger's,130,Faridabad,"Address 63, Faridabad","Locality 13, Faridabad","Locality 13, Faridabad, India",75.875273,12.912749,"American, Mexican, Mediterranean",1533,Indian Rupees(Rs.),No,Yes,No,Yes,1,4.2,Green,Very Good,159,India
6300065,Nirula's,84,Faridabad,"Address 64, Faridabad","Locality 14, Faridabad","Locality 14, Faridabad, India",65.493792,16.284468,Street Food,845,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.3,Green,Very Good,535,India
6300066,Bukhara,92,New Delhi,"Address 65, New Delhi","Locality 15, New Delhi","Locality 15, New Delhi, India",77.056919,28.206127,"Thai, Mediterranean, French",810,Indian Rupees(Rs.),Yes,No,No,No,4,1.7,White,Poor,200,India
6300067,Kwality Wall's,111,Noida,"Address 66, Noida","Locality 16, Noida","Locality 16, Noida, India",62.683533,9.234156,"Bakery, Japanese, Chinese",624,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.2,Red,Average,65,India
6300068,Saravana Bhavan,188,Ghaziabad,"Address 67, Ghaziabad","Locality 17, Ghaziabad","Locality 17, Ghaziabad, India",77.875202,8.414104,Bengali,2790,Indian Rupees(Rs.),Yes,Yes,Yes,Yes,2,2.7,Red,Average,695,India
6300069,Kake Di Hatti,199,Noida,"Address 68, Noida","Locality 18, Noida","Locality 18, Noida, India",60.786038,29.201916,Bengali,756,Indian Rupees(Rs.),No,No,No,No,2,3.3,Red,Average,739,India
6300070,KFC,172,Ghaziabad,"Address 69, Ghaziabad","Locality 19, Ghaziabad","Locality 19, Ghaziabad, India",84.028821,21.500647,"Desserts, Thai",1505,Indian Rupees(Rs.),Yes,Yes,Yes,No,4,3.6,Orange,Good,623,India
6300071,Pizza Hut,8,New Delhi,"Address 70, New Delhi","Locality 20, New Delhi","Locality 20, New Delhi, India",77.628033,29.012813,"Mediterranean, Mughlai, Rajasthani",471,Indian Rupees(Rs.),Yes,No,No,No,1,2.1,White,Poor,79,India
6300072,Embassy Restaurant,175,Ghaziabad,"Address 71, Ghaziabad","Locality 21, Ghaziabad","Locality 21, Ghaziabad, India",80.823208,11.694942,"Thai, Desserts",2241,Indian Rupees(Rs.),Yes,No,Yes,No,1,4.7,Dark Green,Excellent,757,India
6300073,Mainland China,35,Noida,"Address 72, Noida","Locality 22, Noida","Locality 22, Noida, India",60.197314,30.019186,"Mughlai, Beverages, Punjabi",2613,Indian Rupees(Rs.),Yes,No,Yes,No,1,4.7,Dark Green,Excellent,92,India
6300074,Giani's,206,New Delhi,"Address 73, New Delhi","Locality 23, New Delhi","Locality 23, New Delhi, India",77.27777,28.435303,"Mughlai, Mexican, Bengali",652,Indian Rupees(Rs.),Yes,No,Yes,No,1,1.4,White,Poor,140,India
6300075,Paranthe Wali Gali,81,Gurgaon,"Address 74, Gurgaon","Locality 24, Gurgaon","Locality 24, Gurgaon, India",65.813876,30.962643,"Beverages, French, Punjabi",799,Indian Rupees(Rs.),Yes,Yes,Yes,No,2,3.8,Orange,Good,1,India
6300076,McDonald's,164,Ghaziabad,"Address 75, Ghaziabad","Locality 25, Ghaziabad","Locality 25, Ghaziabad, India",86.468497,27.401754,"Bengali, South Indian",1431,Indian Rupees(Rs.),No,No,No,No,3,1.1,White,Poor,267,India
6300077,Mainland China,50,Gurgaon,"Address 76, Gurgaon","Locality 26, Gurgaon","Locality 26, Gurgaon, India",60.094789,8.419449,"Beverages, Italian",2866,Indian Rupees(Rs.),No,Yes,No,Yes,1,1.2,White,Poor,51,India
6300078,Subway,104,Gurgaon,"Address 77, Gurgaon","Locality 27, Gurgaon","Locality 27, Gurgaon, India",64.008025,28.688731,"Mediterranean, Desserts, Gujarati",1253,Indian Rupees(Rs.),Yes,No,Yes,Yes,1,4.8,Dark Green,Excellent,229,India
6300079,Varq,132,New Delhi,"Address 78, New Delhi","Locality 28, New Delhi","Locality 28, New Delhi, India",77.156267,29.054067,"Thai, Desserts, French",2049,Indian Rupees(Rs.),No,No,No,No,3,3.8,Orange,Good,369,India
6300080,Pind Balluchi,2,Noida,"Address 79, Noida","Locality 29, Noida","Locality 29, Noida, India",63.082669,19.884815,"Mexican, French, Japanese",1965,Indian Rupees(Rs.),No,Yes,No,No,2,2.3,White,Poor,450,India
6300081,Ruby Tuesday,134,Gurgaon,"Address 80, Gurgaon","Locality 30, Gurgaon","Locality 30, Gurgaon, India",60.160162,33.953121,Italian,2262,Indian Rupees(Rs.),Yes,No,No,No,3,3.7,Orange,Good,557,India
6300082,Wenger's,54,New Delhi,"Address 81, New Delhi","Locality 31, New Delhi","Locality 31, New Delhi, India",77.00308,28.600389,Mediterranean,2881,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.4,Green,Very Good,99,India
6300083,Bukhara,106,Faridabad,"Address 82, Faridabad","Locality 32, Faridabad","Locality 32, Faridabad, India",80.244486,23.249856,"Desserts, Rajasthani, South Indian",1799,Indian Rupees(Rs.),No,No,No,No,1,4.5,Dark Green,Excellent,493,India
6300084,Haldiram's,4,Gurgaon,"Address 83, Gurgaon","Locality 33, Gurgaon","Locality 33, Gurgaon, India",87.527388,29.089499,"Italian, North Indian",2551,Indian Rupees(Rs.),No,Yes,No,Yes,3,1.1,White,Poor,72,India
6300085,Bukhara,54,Noida,"Address 84, Noida","Locality 34, Noida","Locality 34, Noida, India",62.847134,20.152906,"Punjabi, Mexican, South Indian",1908,Indian Rupees(Rs.),Yes,No,No,Yes,3,4.3,Green,Very Good,799,India
6300086,Dum Pukht,191,Faridabad,"Address 85, Faridabad","Locality 35, Faridabad","Locality 35, Faridabad, India",63.061533,12.45439,South Indian,2097,Indian Rupees(Rs.),Yes,Yes,No,No,2,4.4,Green,Very Good,597,India
6300087,Barbeque Nation,146,New Delhi,"Address 86, New Delhi","Locality 36, New Delhi","Locality 36, New Delhi, India",77.006751,28.649295,"Gujarati, Mediterranean",1707,Indian Rupees(Rs.),No,No,No,No,1,3.4,Red,Average,181,India
6300088,Embassy Restaurant,44,New Delhi,"Address 87, New Delhi","Locality 37, New Delhi","Locality 37, New Delhi, India",77.547282,28.345445,"Fast Food, Chinese",826,Indian Rupees(Rs.),Yes,No,No,No,1,2.9,Red,Average,941,India
6300089,Pind Balluchi,162,Gurgaon,"Address 88, Gurgaon","Locality 38, Gurgaon","Locality 38, Gurgaon, India",83.724075,11.968932,Continental,1731,Indian Rupees(Rs.),Yes,No,No,No,4,1.4,White,Poor,835,India
6300090,Gulati,202,Ghaziabad,"Address 89, Ghaziabad","Locality 39, Ghaziabad","Locality 39, Ghaziabad, India",82.171521,31.453776,Mughlai,2065,Indian Rupees(Rs.),No,Yes,Yes,No,1,2.0,White,Poor,729,India
6300091,Moti Mahal,190,Ghaziabad,"Address 90, Ghaziabad","Locality 40, Ghaziabad","Locality 40, Ghaziabad, India",79.303948,13.126336,"French, Street Food, Chinese",699,Indian Rupees(Rs.),No,No,Yes,No,2,3.0,Red,Average,809,India
6300092,United Coffee House,14,Ghaziabad,"Address 91, Ghaziabad","Locality 41, Ghaziabad","Locality 41, Ghaziabad, India",80.56771,20.12156,American,1264,Indian Rupees(Rs.),No,Yes,No,Yes,2,4.5,Dark Green,Excellent,156,India
6300093,KFC,95,Ghaziabad,"Address 92, Ghaziabad","Locality 42, Ghaziabad","Locality 42, Ghaziabad, India",79.908741,18.817608,"Bakery, Japanese, Desserts",2147,Indian Rupees(Rs.),No,No,No,Yes,2,4.2,Green,Very Good,958,India
6300094,Mother Dairy,48,Gurgaon,"Address 93, Gurgaon","Locality 43, Gurgaon","Locality 43, Gurgaon, India",86.833134,18.716507,Mexican,1058,Indian Rupees(Rs.),Yes,Yes,No,No,4,3.0,Red,Average,860,India
6300095,Wenger's,15,Noida,"Address 94, Noida","Locality 44, Noida","Locality 44, Noida, India",76.587428,8.394974,"Desserts, French",1249,Indian Rupees(Rs.),Yes,Yes,Yes,No,4,4.1,Green,Very Good,898,India
6300096,Haldiram's,200,Ghaziabad,"Address 95, Ghaziabad","Locality 45, Ghaziabad","Locality 45, Ghaziabad, India",88.198819,12.855965,Street Food,2026,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,840,India
6300097,Baskin Robbins,206,Noida,"Address 96, Noida","Locality 46, Noida","Locality 46, Noida, India",61.072853,16.24649,"Continental, American, Punjabi",1292,Indian Rupees(Rs.),Yes,Yes,Yes,Yes,1,3.3,Red,Average,577,India
6300098,Nathu's Sweets,215,Faridabad,"Address 97, Faridabad","Locality 47, Faridabad","Locality 47, Faridabad, India",69.379806,22.56464,"Japanese, French, Italian",332,Indian Rupees(Rs.),No,No,Yes,No,4,1.9,White,Poor,917,India
6300099,Oh! Calcutta,190,Faridabad,"Address 98, Faridabad","Locality 48, Faridabad","Locality 48, Faridabad, India",60.132725,22.122498,"Fast Food, Mediterranean, North Indian",1473,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,White,Poor,655,India
6300100,Haldiram's,40,Ghaziabad,"Address 99, Ghaziabad","Locality 49, Ghaziabad","Locality 49, Ghaziabad, India",63.686124,26.512126,South Indian,409,Indian Rupees(Rs.),No,Yes,Yes,No,4,1.7,White,Poor,951,India
6300101,Ruby Tuesday,213,Gurgaon,"Address 100, Gurgaon","Locality 0, Gurgaon","Locality 0, Gurgaon, India",70.872341,34.367356,"Punjabi, Bakery",496,Indian Rupees(Rs.),Yes,No,No,No,3,1.0,White,Poor,392,India
6300102,Varq,208,Noida,"Address 101, Noida","Locality 1, Noida","Locality 1, Noida, India",69.449758,34.841491,"Continental, Punjabi, Japanese",2419,Indian Rupees(Rs.),No,Yes,Yes,No,2,1.3,White,Poor,360,India
6300103,Pind Balluchi,82,Faridabad,"Address 102, Faridabad","Locality 2, Faridabad","Locality 2, Faridabad, India",65.278593,26.363723,"North Indian, Bakery",2783,Indian Rupees(Rs.),No,Yes,No,No,3,4.0,Green,Very Good,342,India
6300104,Wenger's,111,Noida,"Address 103, Noida","Locality 3, Noida","Locality 3, Noida, India",66.729314,15.509373,"Chinese, Japanese",681,Indian Rupees(Rs.),No,No,No,No,2,1.1,White,Poor,743,India
6300105,Gulati,53,Gurgaon,"Address 104, Gurgaon","Locality 4, Gurgaon","Locality 4, Gurgaon, India",64.513871,25.217463,Beverages,1658,Indian Rupees(Rs.),Yes,No,No,No,3,2.6,Red,Average,20,India
6300106,Natural Ice Cream,24,Noida,"Address 105, Noida","Locality 5, Noida","Locality 5, Noida, India",69.351677,17.492254,"Desserts, South Indian, French",2023,Indian Rupees(Rs.),Yes,No,No,No,1,4.9,Dark Green,Excellent,333,India
6300107,Mainland China,154,New Delhi,"Address 106, New Delhi","Locality 6, New Delhi","Locality 6, New Delhi, India",76.961953,28.731335,"Street Food, Desserts",1343,Indian Rupees(Rs.),Yes,Yes,No,No,1,4.2,Green,Very Good,192,India
6300108,Moti Mahal,188,Noida,"Address 107, Noida","Locality 7, Noida","Locality 7, Noida, India",81.77955,24.496519,"Desserts, Continental, Mexican",2736,Indian Rupees(Rs.),No,Yes,Yes,No,2,4.0,Green,Very Good,346,India
6300109,Spice Route,124,Noida,"Address 108, Noida","Locality 8, Noida","Locality 8, Noida, India",79.880732,17.312648,"Chinese, Fast Food, Desserts",466,Indian Rupees(Rs.),No,No,Yes,No,1,2.1,White,Poor,295,India
6300110,Giani's,41,Ghaziabad,"Address 109, Ghaziabad","Locality 9, Ghaziabad","Locality 9, Ghaziabad, India",85.543621,34.155103,"American, Beverages, North Indian",1826,Indian Rupees(Rs.),No,No,No,No,2,3.6,Orange,Good,135,India
6300111,Giani's,157,New Delhi,"Address 110, New Delhi","Locality 10, New Delhi","Locality 10, New Delhi, India",77.579185,28.567576,"Rajasthani, Mexican, Beverages",1296,Indian Rupees(Rs.),No,Yes,No,No,3,3.0,Red,Average,953,India
6300112,Domino's Pizza,15,Gurgaon,"Address 111, Gurgaon","Locality 11, Gurgaon","Locality 11, Gurgaon, India",64.143318,23.678969,Bakery,479,Indian Rupees(Rs.),Yes,No,Yes,No,2,3.5,Orange,Good,203,India
